Course,Professor,GPA,% of A's,% of B's,% of C's,% of D's,% of F's,N
,HILTY C,3.05,31.82%,45.45%,18.18%,4.55%,0.0%,1
,KEENEY-KENNICUTT W,2.91,25.0233333333%,52.51%,15.21%,3.33%,3.92333333333%,3
,LAANE J,2.65,11.11%,53.7%,27.78%,1.85%,5.56%,1
,LEUNG T,2.72,16.45%,49.66%,27.3033333333%,3.25%,3.34%,3
,MACFARLANE R,2.46,11.51%,40.29%,36.69%,6.47%,5.04%,1
,MCCARTNEY S,2.73,17.33%,49.96%,24.2075%,5.815%,2.685%,4
,MULLEN C,2.63,11.76%,54.12%,22.35%,9.41%,2.35%,1
,NARINDOSHVILI T,2.78,14.46%,54.22%,26.51%,4.82%,0.0%,1
,NORTH S,3.17,32.58%,50.905%,16.515%,0.0%,0.0%,2
,POTTS J,2.82,17.4833333333%,51.7966666667%,26.4766666667%,3.79%,0.456666666667%,3
,PROSVIRIN A,2.75,20.03%,48.445%,20.46%,8.925%,2.145%,2
,RAYMOND J,2.54,14.29%,44.9%,28.57%,6.12%,6.12%,1
,ROSYNEK M,3.41,63.22%,21.91%,10.05%,2.40666666667%,2.40666666667%,3
,SAMOUEI H,2.58,12.68%,45.07%,32.39%,5.63%,4.23%,1
,SKILES S,2.2,2.63%,50.0%,26.32%,7.89%,13.16%,1
,STOLLENZ M,2.74,17.958%,53.042%,19.02%,4.514%,5.464%,5
,TRUFAN E,2.62,17.24%,48.28%,22.41%,3.45%,8.62%,1
,UTLEY D,2.85,20.59%,55.33%,16.3033333333%,5.29%,2.47666666667%,3
,WILLIAMSON V,2.69,18.08%,49.2816666667%,20.8733333333%,6.765%,5.00333333333%,6
,YEAGER D,2.82,19.2833333333%,56.02%,15.28%,6.02%,3.40333333333%,3
,,,,,,,
CHEM-112,,,,,,,
,BANERJEE S,3.47,61.555%,26.515%,11.93%,0.0%,0.0%,2
,BETHEL R,2.82,17.8975%,53.2075%,23.92%,3.4725%,1.5025%,4
,BEVAN J,2.77,16.82%,55.065%,19.1325%,6.665%,2.32%,4
,BROWN L,2.78,20.3957142857%,48.0128571429%,23.2928571429%,5.40714285714%,2.89%,7
,CHAKRABARTI M,2.85,16.24%,59.4%,19.23%,3.42%,1.71%,1
,COLLINS D,2.83,18.72%,50.73%,25.815%,4.01%,0.72%,2
,DEMPSEY S,2.88,19.99%,50.055%,27.715%,2.01%,0.225%,2
,KEENEY-KENNICUTT W,2.88,17.04%,58.755%,19.91%,3.505%,0.795%,2
,LAANE J,2.95,17.05%,62.79%,18.6%,0.78%,0.78%,1
,LEUNG T,2.95,25.64%,51.28%,17.95%,2.56%,2.56%,1
,LINDAHL P,2.72,22.22%,33.33%,38.89%,5.56%,0.0%,1
,MACFARLANE R,2.91,21.54%,52.92%,20.92%,3.69%,0.92%,1
,MAWK E,2.85,23.415%,45.835%,24.37%,4.26%,2.125%,2
,MCCARTNEY S,2.79,18.36%,52.9625%,20.735%,4.325%,3.6175%,4
,MULLEN C,2.95,17.27%,61.82%,20.0%,0.91%,0.0%,1
,PROSVIRIN A,2.78,15.94%,51.45%,28.99%,2.17%,1.45%,1
,RAYMOND J,2.64,14.29%,47.9%,25.21%,10.92%,1.68%,1
,ROSYNEK M,3.5,62.4225%,26.9175%,10.66%,0.0%,0.0%,4
,SCHWEIKERT E,3.64,78.95%,10.53%,10.53%,0.0%,0.0%,1
,SKILES S,2.98,21.43%,56.25%,21.43%,0.89%,0.0%,1
,STOLLENZ M,2.84,18.542%,52.274%,25.396%,2.402%,1.382%,5
,TRUFAN E,2.88,20.77%,52.94%,21.32%,3.68%,1.29%,1
,UTLEY D,2.8,18.61%,49.2633333333%,26.2066666667%,4.88%,1.04%,3
,WERKE C,2.84,20.97%,46.77%,25.81%,4.84%,1.61%,1
,WILLIAMSON V,2.83,18.9028571429%,52.0585714286%,23.8242857143%,3.72%,1.49142857143%,7
,YEAGER D,2.97,22.5933333333%,55.46%,18.85%,2.84666666667%,0.25%,3
,,,,,,,
CHEM-113,,,,,,,
,DARENSBOURG D,2.35,26.67%,23.33%,23.33%,13.33%,13.33%,1
,,,,,,,
CHEM-114,,,,,,,
,DARENSBOURG D,3.48,65.945%,22.98%,6.52%,2.38%,2.175%,2
,,,,,,,
CHEM-116,,,,,,,
,BEVAN J,2.88,22.95%,51.2566666667%,18.45%,5.75333333333%,1.58666666667%,3
,BROWN L,2.92,23.08%,46.15%,30.77%,0.0%,0.0%,1
,KEENEY-KENNICUTT W,3.15,25.0%,65.0%,10.0%,0.0%,0.0%,1
,MCCARTNEY S,2.95,22.3766666667%,57.35%,12.8633333333%,7.40666666667%,0.0%,3
,TRUFAN E,3.15,30.0%,57.5%,10.0%,2.5%,0.0%,1
,YEAGER D,2.83,9.52%,64.29%,26.19%,0.0%,0.0%,1
,,,,,,,
CHEM-117,,,,,,,
,BETHEL R,2.61,16.1025%,45.1375%,27.935%,6.41%,4.415%,4
,BEVAN J,2.6,16.636%,43.646%,28.51%,6.602%,4.612%,5
,BROWN L,2.69,15.7671428571%,47.7985714286%,28.3557142857%,4.96142857143%,3.11714285714%,7
,CHAKRABARTI M,2.69,15.54%,50.505%,22.92%,8.995%,2.035%,2
,COLLINS D,2.64,15.58%,44.945%,29.835%,7.225%,2.41%,2
,DEMPSEY S,2.68,11.45%,55.42%,24.7%,6.02%,2.41%,1
,KEENEY-KENNICUTT W,2.64,14.334%,51.878%,22.986%,6.592%,4.21%,5
,LAANE J,2.59,13.53%,49.62%,23.31%,9.77%,3.76%,1
,LEUNG T,2.73,18.3%,47.06%,26.14%,6.54%,1.96%,1
,MACFARLANE R,2.58,17.5%,45.0%,22.5%,9.38%,5.63%,1
,MCCARTNEY S,2.63,14.29%,47.8675%,26.67%,7.6825%,3.49%,4
,MULLEN C,2.53,11.59%,44.93%,31.88%,8.7%,2.9%,1
,RAYMOND J,2.78,17.65%,54.41%,20.59%,2.94%,4.41%,1
,SANCHEZ F,2.65,15.0933333333%,45.79%,30.0233333333%,6.67333333333%,2.41666666667%,3
,SKILES S,2.53,11.86%,43.5%,34.46%,5.65%,4.52%,1
,STOLLENZ M,2.62,16.218%,47.788%,22.442%,9.398%,4.15%,5
,TRUFAN E,2.66,12.81%,54.68%,22.66%,4.43%,5.42%,1
,UTLEY D,2.69,15.22%,51.1533333333%,23.9066666667%,7.03%,2.69333333333%,3
,WERKE C,2.75,17.08%,48.44%,28.295%,5.585%,0.595%,2
,WILLIAMSON V,2.69,15.76%,49.8771428571%,24.3471428571%,7.44428571429%,2.57285714286%,7
,YEAGER D,2.74,16.18%,52.9%,21.4433333333%,8.23333333333%,1.25%,3
,,,,,,,
CHEM-222,,,,,,,
,MULLEN C,2.46,19.8163636364%,29.42%,32.4672727273%,13.5490909091%,4.75181818182%,11
,,,,,,,
CHEM-227,,,,,,,
,BERGBREITER D,3.34,44.685%,45.795%,8.56%,0.96%,0.0%,2
,FANG L,2.64,21.6733333333%,36.39%,29.71%,8.89%,3.34333333333%,3
,GLADYSZ J,2.81,19.35%,51.61%,19.35%,9.68%,0.0%,1
,GOPALAKRISHNAN G,2.58,22.0925%,32.8075%,30.1175%,11.2875%,3.69%,4
,HARDING K,2.39,25.4425%,25.8125%,19.9925%,19.735%,9.0175%,4
,JIANG L,2.46,21.605%,30.91%,27.24%,12.645%,7.6%,2
,PENNINGTON J,2.44,17.865%,30.2575%,35.1%,11.2025%,5.5725%,4
,PONNAMPERUMA K,2.58,16.67%,35.8266666667%,38.91%,6.27%,2.32%,3
,POWERS D,2.65,21.18%,36.47%,29.41%,11.76%,1.18%,1
,SANTANDER P,2.48,16.0533333333%,34.63%,34.9366666667%,10.18%,4.2%,3
,SCHAEFER A,2.46,17.72%,29.11%,34.18%,18.99%,0.0%,1
,SCZEPANSKI J,2.44,22.62%,25.0%,33.33%,11.9%,7.14%,1
,SINGLETON D,2.73,23.84%,38.06%,26.85%,9.735%,1.515%,2
,SUN G,2.52,19.1%,33.71%,31.46%,11.24%,4.49%,1
,WAAS J,2.55,25.8%,29.37%,26.935%,11.04%,6.86%,2
,WHEELER S,2.49,27.47%,28.57%,19.78%,14.29%,9.89%,1
,YANG J,2.63,21.48%,33.715%,33.715%,8.965%,2.115%,2
,,,,,,,
CHEM-228,,,,,,,
,BERGBREITER D,3.47,52.8433333333%,42.2733333333%,4.11%,0.776666666667%,0.0%,3
,BURGESS K,2.59,19.94%,35.4033333333%,29.0066666667%,15.2233333333%,0.423333333333%,3
,GOPALAKRISHNAN G,2.72,27.3866666667%,31.53%,30.1966666667%,7.76333333333%,3.12%,3
,HARDING K,2.44,30.16%,20.63%,25.4%,11.11%,12.7%,1
,HILDRETH R,2.62,17.89%,40.0%,32.63%,5.26%,4.21%,1
,JIANG L,2.43,18.865%,32.89%,27.555%,13.625%,7.07%,2
,LIU W,2.6,20.41%,35.72%,29.12%,12.48%,2.275%,2
,PENNINGTON J,2.61,22.5866666667%,36.0166666667%,26.81%,9.52%,5.06333333333%,3
,PONNAMPERUMA K,2.51,15.1875%,37.575%,34.335%,9.6675%,3.235%,4
,SANTANDER P,2.42,18.3057142857%,31.0842857143%,31.2071428571%,12.8214285714%,6.58428571429%,7
,SINGLETON D,2.83,32.548%,26.588%,34.11%,4.64%,2.108%,5
,WATANABE C,3.09,30.325%,49.3675%,19.3225%,0.985%,0.0%,4
,WOOLEY K,3.08,33.96%,45.28%,16.98%,1.89%,1.89%,1
,,,,,,,
CHEM-231,,,,,,,
,BERGBREITER D,3.15,38.71%,45.16%,12.9%,3.23%,0.0%,1
,BURGESS K,3.03,38.78%,38.78%,12.24%,6.12%,4.08%,1
,ROMO D,3.42,58.44%,33.77%,2.6%,2.6%,2.6%,1
,,,,,,,
CHEM-234,,,,,,,
,HARDING K,3.16,36.16%,47.2566666667%,13.2483333333%,3.33333333333%,0.0%,6
,JIANG L,2.88,30.68%,35.225%,29.925%,0.0%,4.165%,2
,SANTANDER P,3.17,41.67%,41.67%,12.5%,0.0%,4.165%,2
,SCHAEFER A,3.05,30.4325%,54.3725%,9.795%,0.0%,5.3975%,4
,SUN G,3.36,45.45%,45.45%,9.09%,0.0%,0.0%,1
,TINER T,3.03,34.28%,38.374%,23.748%,3.598%,0.0%,5
,WAAS J,2.78,22.22%,44.44%,22.22%,11.11%,0.0%,1
,,,,,,,
CHEM-237,,,,,,,
,GOPALAKRISHNAN G,3.11,30.0383333333%,54.7283333333%,12.5216666667%,1.47333333333%,1.23833333333%,6
,HARDING K,3.0,28.32625%,51.05875%,15.485%,3.1575%,1.975%,8
,HILDRETH R,3.06,22.75%,61.68%,14.37%,0.6%,0.6%,1
,JIANG L,3.03,31.8533333333%,47.5533333333%,15.0066666667%,3.01666666667%,2.57666666667%,3
,PENNINGTON J,3.01,29.065%,51.295%,14.35%,2.7375%,2.55%,4
,PONNAMPERUMA K,3.06,30.9183333333%,49.9933333333%,15.6883333333%,1.35166666667%,2.05%,6
,SANTANDER P,3.03,28.86%,51.51%,15.4533333333%,2.17%,2.01333333333%,6
,SUN G,2.95,30.0%,48.33%,13.33%,5.0%,3.33%,1
,WAAS J,3.02,30.02%,50.71%,13.03%,3.685%,2.55%,2
,,,,,,,
CHEM-238,,,,,,,
,GOPALAKRISHNAN G,3.07,31.13%,50.74%,14.514%,1.414%,2.202%,5
,HARDING K,3.14,31.7866666667%,52.5966666667%,13.75%,1.3%,0.56%,3
,HILDRETH R,3.07,32.465%,48.83%,14.29%,1.3%,3.12%,2
,JIANG L,3.2,38.9166666667%,42.5566666667%,15.8533333333%,1.96%,0.713333333333%,3
,PENNINGTON J,3.06,28.866%,53.342%,14.712%,1.62%,1.46%,5
,PONNAMPERUMA K,3.14,33.1333333333%,50.8433333333%,14.2333333333%,1.245%,0.546666666667%,6
,SANTANDER P,3.09,30.7728571429%,52.2228571429%,14.0985714286%,1.18142857143%,1.72428571429%,7
,SINGLETON D,2.98,37.04%,37.04%,18.52%,3.7%,3.7%,1
,SUN G,2.99,25.27%,52.75%,17.58%,4.4%,0.0%,1
,WAAS J,2.97,29.63%,46.295%,19.135%,4.01%,0.925%,2
,,,,,,,
CHEM-242,,,,,,,
,MULLEN C,3.1,29.2628571429%,54.3571428571%,14.4714285714%,0.674285714286%,1.23142857143%,7
,,,,,,,
CHEM-315,,,,,,,
,MACFARLANE R,3.44,57.3%,31.318%,9.88%,1.116%,0.384%,5
,MAWK E,2.98,35.9933333333%,37.07%,17.2833333333%,7.98333333333%,1.66666666667%,3
,RUSSELL D,2.46,7.14%,35.71%,53.57%,3.57%,0.0%,1
,,,,,,,
CHEM-316,,,,,,,
,LIM S,3.07,32.9466666667%,46.1266666667%,17.2516666667%,2.36833333333%,1.305%,6
,SORIAGA E,2.67,33.33%,25.0%,25.0%,8.33%,8.33%,1
,,,,,,,
CHEM-317,,,,,,,
,SCHWEIKERT E,2.78,19.79%,48.96%,20.835%,10.415%,0.0%,2
,,,,,,,
CHEM-318,,,,,,,
,BATTEAS J,3.55,60.0%,35.0%,5.0%,0.0%,0.0%,1
,LIM S,3.14,35.43%,46.84%,14.76%,2.81666666667%,0.155%,6
,MACFARLANE R,3.09,27.52%,56.5883333333%,14.85%,0.0%,1.04166666667%,6
,SORIAGA E,3.31,54.1%,27.87%,16.39%,1.64%,0.0%,1
,,,,,,,
CHEM-320,,,,,,,
,MAWK E,3.05,31.02%,45.37%,21.76%,1.85%,0.0%,2
,,,,,,,
CHEM-322,,,,,,,
,BEVAN J,2.76,23.7166666667%,36.77%,34.0566666667%,2.41666666667%,3.04666666667%,3
,HILTY C,2.77,19.3%,42.11%,36.84%,0.0%,1.75%,1
,LAANE J,3.1,42.5233333333%,30.98%,22.2633333333%,2.31666666667%,1.91333333333%,3
,WHEELER S,2.73,10.81%,62.16%,21.62%,0.0%,5.41%,1
,,,,,,,
CHEM-325,,,,,,,
,BROWN L,3.13,30.8625%,55.7725%,12.1125%,0.0%,1.25%,4
,GAEDE H,2.81,30.3%,34.47%,26.135%,4.545%,4.545%,2
,HILTY C,3.32,38.71%,54.84%,6.45%,0.0%,0.0%,1
,LAANE J,3.45,47.22%,50.0%,2.78%,0.0%,0.0%,2
,LIM S,3.03,27.23%,55.355%,13.84%,0.0%,3.57%,2
,SON D,3.37,42.9533333333%,50.6666666667%,6.38%,0.0%,0.0%,3
,,,,,,,
CHEM-326,,,,,,,
,GAEDE H,3.31,41.2366666667%,48.1466666667%,10.6166666667%,0.0%,0.0%,3
,HILTY C,3.32,33.33%,66.67%,0.0%,0.0%,0.0%,1
,LUCCHESE R,3.43,54.76%,35.795%,7.45%,2.0%,0.0%,2
,WHEELER S,3.14,29.69%,57.815%,10.94%,0.0%,1.565%,2
,YEAGER D,3.43,52.3%,39.08%,8.62%,0.0%,0.0%,2
,,,,,,,
CHEM-327,,,,,,,
,BEVAN J,2.71,26.99%,19.775%,50.375%,2.855%,0.0%,2
,HILTY C,2.72,23.605%,32.37%,37.385%,5.57%,1.065%,2
,LAANE J,2.84,31.9366666667%,33.4066666667%,25.1333333333%,6.25333333333%,3.27%,3
,SON D,2.56,23.75%,35.0%,20.835%,14.585%,5.83%,2
,YEAGER D,2.71,17.7%,40.27%,38.405%,2.175%,1.45%,2
,,,,,,,
CHEM-328,,,,,,,
,FOLDEN C,2.78,20.66%,45.41%,25.765%,7.145%,1.02%,2
,HILTY C,2.63,12.2%,48.78%,29.27%,9.76%,0.0%,1
,SON D,2.65,27.22%,30.305%,27.12%,11.305%,4.06%,2
,YEAGER D,2.52,18.198%,31.618%,37.342%,10.014%,2.826%,5
,,,,,,,
CHEM-362,,,,,,,
,BLUEMEL J,2.88,19.5566666667%,52.2933333333%,25.9866666667%,0.776666666667%,1.39%,3
,DARENSBOURG M,2.88,27.1575%,40.885%,25.15%,6.8025%,0.0%,4
,,,,,,,
CHEM-415,,,,,,,
,BATTEAS J,2.57,16.39%,37.7%,34.43%,9.84%,1.64%,1
,HILTY C,2.77,24.395%,37.31%,31.125%,5.74%,1.43%,2
,RUSSELL D,2.69,6.25%,56.25%,37.5%,0.0%,0.0%,1
,SCHWEIKERT E,2.45,27.27%,22.73%,22.73%,22.73%,4.55%,1
,,,,,,,
CHEM-433,,,,,,,
,CLEARFIELD A,3.17,42.0733333333%,36.3133333333%,18.5866666667%,3.03%,0.0%,3
,GABBAI F,3.6,60.0%,40.0%,0.0%,0.0%,0.0%,1
,POWERS T,3.32,39.41%,54.705%,5.88%,0.0%,0.0%,2
,ZHOU H,3.29,46.946%,40.162%,10.42%,0.0%,2.466%,5
,,,,,,,
CHEM-434,,,,,,,
,MAWK E,2.98,27.0771428571%,48.3042857143%,21.3414285714%,2.11142857143%,1.16714285714%,7
,,,,,,,
CHEM-446,,,,,,,
,BERGBREITER D,3.11,33.33%,50.0%,11.11%,5.56%,0.0%,1
,ROMO D,3.33,40.0%,52.5%,7.5%,0.0%,0.0%,2
,YANG J,2.68,16.0%,48.0%,24.0%,12.0%,0.0%,1
,,,,,,,
CHEM-456,,,,,,,
,BEGLEY T,2.73,14.71%,55.88%,20.59%,5.88%,2.94%,1
,LINDAHL P,3.27,41.665%,43.33%,15.0%,0.0%,0.0%,2
,,,,,,,
CHEM-462,,,,,,,
,DARENSBOURG M,3.62,62.275%,37.725%,0.0%,0.0%,0.0%,2
,,,,,,,
CHEM-464,,,,,,,
,FOLDEN C,3.28,47.71%,32.71%,19.585%,0.0%,0.0%,2
,,,,,,,
CHEM-466,,,,,,,
,FANG L,3.01,32.575%,38.57%,26.68%,1.64%,0.53%,2
,WOOLEY K,3.25,44.785%,36.055%,18.07%,1.095%,0.0%,2
,,,,,,,
CHEM-481,,,,,,,
,GAEDE H,3.07,32.5683333333%,47.5966666667%,16.0833333333%,2.70833333333%,1.04166666667%,6
,GOODEY J,3.08,37.0775%,40.1675%,18.685%,1.795%,2.2725%,4
,POWERS T,2.82,18.18%,54.55%,18.18%,9.09%,0.0%,1
,,,,,,,
CHEM-483,,,,,,,
,DARENSBOURG D,3.18,30.1%,57.32%,12.585%,0.0%,0.0%,2
,,,,,,,
CHEM-489,,,,,,,
,BANERJEE S,2.9,31.58%,31.58%,31.58%,5.26%,0.0%,1
,,,,,,,
CHEM-491,,,,,,,
,CLEARFIELD A,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,GAEDE H,3.98,98.0775%,1.9225%,0.0%,0.0%,0.0%,4
,MACFARLANE R,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,4
,NORTH S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,ROMO D,3.84,84.1233333333%,15.8766666667%,0.0%,0.0%,0.0%,3
,WATANABE C,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,YENNELLO S,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,2
,,,,,,,
CHEM-601,,,,,,,
,BATTEAS J,3.13,37.5%,37.5%,25.0%,0.0%,0.0%,1
,SCHWEIKERT E,3.4,50.0%,40.0%,10.0%,0.0%,0.0%,1
,SHELDON M,3.4,40.0%,60.0%,0.0%,0.0%,0.0%,1
,,,,,,,
CHEM-602,,,,,,,
,SON D,3.67,66.67%,33.33%,0.0%,0.0%,0.0%,1
,,,,,,,
CHEM-603,,,,,,,
,VIGH G,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,1
,,,,,,,
CHEM-610,,,,,,,
,BURGESS K,3.32,43.925%,43.925%,12.16%,0.0%,0.0%,2
,ROMO D,3.56,55.56%,44.44%,0.0%,0.0%,0.0%,1
,,,,,,,
CHEM-619,,,,,,,
,SON D,3.38,50.0%,37.5%,12.5%,0.0%,0.0%,1
,,,,,,,
CHEM-621,,,,,,,
,NORTH S,3.46,53.0625%,41.58%,3.5725%,1.785%,0.0%,4
,,,,,,,
CHEM-623,,,,,,,
,BATTEAS J,3.81,83.2625%,14.9525%,1.785%,0.0%,0.0%,4
,,,,,,,
CHEM-628,,,,,,,
,BARONDEAU D,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,LINDAHL P,3.12,31.665%,58.335%,5.0%,0.0%,5.0%,2
,,,,,,,
CHEM-630,,,,,,,
,LIU W,3.68,71.43%,25.0%,3.57%,0.0%,0.0%,2
,,,,,,,
CHEM-631,,,,,,,
,LUCCHESE R,3.46,45.835%,54.165%,0.0%,0.0%,0.0%,2
,,,,,,,
CHEM-633,,,,,,,
,GABBAI F,3.23,41.18%,41.18%,17.65%,0.0%,0.0%,1
,NIPPE M,3.39,43.65%,51.785%,4.565%,0.0%,0.0%,2
,,,,,,,
CHEM-634,,,,,,,
,DUNBAR K,3.36,54.02%,39.2833333333%,0.0%,1.96%,4.73666666667%,3
,,,,,,,
CHEM-635,,,,,,,
,CLEARFIELD A,3.31,42.31%,46.15%,11.54%,0.0%,0.0%,1
,,,,,,,
CHEM-640,,,,,,,
,WATANABE C,3.81,81.0333333333%,18.9666666667%,0.0%,0.0%,0.0%,3
,,,,,,,
CHEM-641,,,,,,,
,HALL M,3.37,36.905%,63.095%,0.0%,0.0%,0.0%,4
,,,,,,,
CHEM-642,,,,,,,
,OZEROV O,3.15,27.5075%,62.9775%,8.0425%,0.0%,1.47%,4
,,,,,,,
CHEM-644,,,,,,,
,BEGLEY T,3.6,60.0%,40.0%,0.0%,0.0%,0.0%,2
,,,,,,,
CHEM-646,,,,,,,
,GLADYSZ J,3.33,43.635%,46.21%,10.155%,0.0%,0.0%,2
,SINGLETON D,3.23,33.33%,56.41%,10.26%,0.0%,0.0%,1
,,,,,,,
CHEM-647,,,,,,,
,BLUEMEL J,3.2,34.5875%,54.44%,7.485%,3.485%,0.0%,4
,,,,,,,
CHEM-648,,,,,,,
,LUCCHESE R,3.5,50.0%,50.0%,0.0%,0.0%,0.0%,1
,WHEELER S,3.08,27.485%,53.505%,19.005%,0.0%,0.0%,2
,,,,,,,
CHEM-658,,,,,,,
,PEREZ L,4.0,100.0%,0.0%,0.0%,0.0%,0.0%,3
,,,,,,,
CHEM-670,,,,,,,
,BARONDEAU D,3.33,33.035%,66.965%,0.0%,0.0%,0.0%,2
,,,,,,,
CHEM-672,,,,,,,
,RAUSHEL F,3.47,51.78%,43.22%,5.0%,0.0%,0.0%,4
,,,,,,,
CHEM-673,,,,,,,
,HUGHBANKS T,3.46,53.85%,38.46%,7.69%,0.0%,0.0%,2
,,,,,,,
CHEM-689,,,,,,,
,DARENSBOURG D,3.47,52.63%,42.11%,5.26%,0.0%,0.0%,1
,FOLDEN C,3.56,55.56%,44.44%,0.0%,0.0%,0.0%,1
,HUGHBANKS T,3.21,42.11%,42.11%,10.53%,5.26%,0.0%,1
,RUSSELL D,3.0,23.08%,69.23%,0.0%,0.0%,7.69%,1
,WOOLEY K,3.88,87.5%,12.5%,0.0%,0.0%,0.0%,1
,,,,,,,
ECEN-424,,,,,,,
,SHAKKOTTAI S,2.94,34.38%,31.25%,31.25%,0.0%,3.13%,1
,,,,,,,
MATH-102,,,,,,,
,ANDERSON J,2.21,21.43%,21.43%,33.33%,4.76%,19.05%,1
,KLEIN G,1.95,13.51%,27.03%,24.32%,10.81%,24.32%,1
,SCHRADER T,3.13,50.0%,25.0%,12.5%,12.5%,0.0%,1
,,,,,,,
MATH-131,,,,,,,
,ALLEN A,2.24,18.325%,26.695%,26.225%,18.335%,10.42%,2
,BOLLINGER K,2.12,10.1%,32.9%,24.76%,23.13%,9.12%,1
,CAUSEY R,2.07,20.0%,26.67%,13.33%,20.0%,20.0%,1
,CREAMER D,2.6,28.3%,30.19%,20.75%,15.09%,5.66%,1
,DROST M,2.32,18.48%,30.87%,24.075%,16.855%,9.725%,2
,FU S,2.67,16.67%,50.0%,16.67%,16.67%,0.0%,1
,GREEN N,2.69,36.73%,22.45%,18.37%,18.37%,4.08%,1
,HAMM K,2.71,21.43%,50.0%,14.29%,7.14%,7.14%,1
,JOHNSON M,2.34,18.18%,29.55%,27.27%,18.18%,6.82%,1
,KOGAN R,2.6,20.9%,43.28%,17.91%,10.45%,7.46%,1
,LEE S,2.47,20.97%,30.65%,33.87%,3.23%,11.29%,1
,LEWIS J,2.54,25.0%,32.14%,21.43%,14.29%,7.14%,1
,LI B,3.12,52.94%,11.76%,29.41%,5.88%,0.0%,1
,LIU W,2.64,28.885%,32.635%,20.115%,10.41%,7.955%,2
